model	nDCG	MAP	MRR	Precision	Recall	F1	HR
NGCF_seed=42_e=40_bs=256_lr=0$001942393303022744_factors=64_l_w=0$030200481468703928_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.0062398241112685	0.0020153635220782986	0.0078043747825981315	0.0012540058520273097	0.010765484378097847	0.002145899881898924	0.024522781106311828
NGCF_seed=42_e=30_bs=256_lr=3$0469943185258545e-05_factors=64_l_w=0$02558691951254582_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.0015063536158219655	0.0004749385906648464	0.0018554136054473604	0.00032046816218475686	0.0026521610540002623	0.0005495390698366593	0.006339696251915842
NGCF_seed=42_e=40_bs=256_lr=5$035669732669714e-05_factors=64_l_w=0$0018619598259769967_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.009566620733381586	0.002785672004237794	0.012675233532509052	0.0016336909572244672	0.014847087123199411	0.0028323452296215306	0.03155914727602062
NGCF_seed=42_e=30_bs=256_lr=0$0011965406767967112_factors=64_l_w=2$859812990073557e-05_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.005131339447664456	0.0016108702285857139	0.005211984186666706	0.00118085551065905	0.010342811741160914	0.0020377810837215477	0.02326877525428452
NGCF_seed=42_e=40_bs=256_lr=0$01749859765919991_factors=64_l_w=0$010072709777950403_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.0013436329759088203	0.0004007709658108453	0.0018797482419207262	0.00026125121917235615	0.0023485348812783673	0.0004471547521594012	0.005225024383447123
NGCF_seed=42_e=30_bs=256_lr=0$21276681877561088_factors=64_l_w=0$08818488264033014_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.001424343601573378	0.00043477737574937477	0.001400014329253587	0.00034833495889647487	0.0030699609789062205	0.0005914981440165634	0.006966699177929497
NGCF_seed=42_e=40_bs=256_lr=1$772160281135571e-05_factors=64_l_w=0$03357613613128024_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.0009380872042446969	0.0002232235673270653	0.0009561208699990954	0.0001706841298592727	0.0016562799515286626	0.00029670237127595164	0.0034136825971854533
NGCF_seed=42_e=30_bs=256_lr=0$03597928443985812_factors=64_l_w=0$00033410136073770035_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.0012526237723763398	0.0003851966832054366	0.0013663107462836862	0.0002717012679392504	0.0024629048594493764	0.0004650020275486902	0.005434025358785008
NGCF_seed=42_e=40_bs=256_lr=0$24213955017153158_factors=64_l_w=0$0020264853331120316_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.0011617867470372287	0.0003286555144440897	0.0012271551811640744	0.00027518461752821513	0.002277166260140338	0.00046481872721130754	0.0055036923505643025
NGCF_seed=42_e=30_bs=256_lr=0$002636640880552307_factors=64_l_w=0$013151350615840154_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.0016166538010970151	0.0004978115222872835	0.002021795931312852	0.00032395151177372166	0.002955280325699721	0.0005572497069648304	0.006409363243695137
NGCF_seed=42_e=30_bs=256_lr=0$09038129734418676_factors=64_l_w=0$11374633992844178_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.0018331501091711586	0.0005906245527806286	0.002127677692635476	0.00039710185314198134	0.0033121012368957188	0.0006766984428850767	0.007872370071060331
NGCF_seed=42_e=30_bs=256_lr=0$0006430174272401934_factors=64_l_w=0$000459204515822773_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.007962972251292168	0.0024179485461584315	0.011301551896648204	0.0011390553155914728	0.010992877314203479	0.0019842269958554493	0.022641772328270866
NGCF_seed=42_e=40_bs=256_lr=1$1137518726255443e-05_factors=64_l_w=0$00015262835258105295_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.0008955077466501753	0.0002098974268417064	0.0008179003807076542	0.00017416747944823743	0.0018103859176034178	0.0003052070406175697	0.0034833495889647487
NGCF_seed=42_e=30_bs=256_lr=9$546028691264796e-05_factors=64_l_w=0$001281074872271641_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.007386194530888282	0.0023342548504003916	0.011255947716771788	0.0010415215271004597	0.009187626200243583	0.0017919619593665607	0.02062142956667131
NGCF_seed=42_e=40_bs=256_lr=0$0008935525175983718_factors=64_l_w=0$8359090530494524_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.0006237341807873595	0.00018313721414139805	0.0006600001992759903	0.00016023408109237846	0.0012607198692018344	0.00026534362336409317	0.0032046816218475687
NGCF_seed=42_e=30_bs=256_lr=0$0005481149992562125_factors=64_l_w=1$13868540210282e-05_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.004592955179026575	0.0014567570526047599	0.004527651329966065	0.00104152152710046	0.009434467925224215	0.0018019928565990054	0.020691096558450608
NGCF_seed=42_e=40_bs=256_lr=0$875490489214072_factors=64_l_w=0$0026214844710913355_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.0009791773989548762	0.0003029220853367023	0.0011369778190042958	0.0002055176257489202	0.0017756317981864867	0.00034054364386350283	0.004110352514978403
NGCF_seed=42_e=30_bs=256_lr=0$0008878407227229954_factors=64_l_w=0$024031640767099717_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.004060982814115987	0.0012389708542711545	0.004150794434117472	0.0009718545353211649	0.00833248981192692	0.0016566219401919367	0.01908875574752682
NGCF_seed=42_e=30_bs=256_lr=9$872809363131766e-05_factors=64_l_w=1$4963652712835933e-05_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.006479670735533491	0.002011994240511895	0.010366396199961218	0.0007802703079281036	0.007104050264390164	0.0013553482636956373	0.015326738191444894
NGCF_seed=42_e=40_bs=256_lr=0$001110085599014871_factors=64_l_w=0$004980552645436873_weight_size=64_node_dropout=0$1-0$2-0$3-0$45_message_dropout=0$1-0$2-0$3-0$45_n_fold=5	0.0043618107777205215	0.0013481621491767206	0.004090214821945786	0.00104152152710046	0.009441624596120317	0.0018110584394825816	0.02062142956667131
