model	nDCG	MAP	MRR	Precision	Recall	F1	HR
EASER_neighborhood=8444_l2_norm=270$1685723803149	0.17694014680339096	0.10968094282951385	0.27351185280809315	0.07765468473777255	0.21558560791094122	0.09409167577928315	0.5619328226281673
EASER_neighborhood=8444_l2_norm=8687$784466949943	0.13401972327367534	0.0820901233390905	0.22058102353409495	0.05870948733058338	0.16776199448424114	0.07085719490022868	0.5025338833235121
EASER_neighborhood=8444_l2_norm=21498$975926783205	0.12126409291754713	0.07409679634370858	0.20230665476797788	0.05291101944608132	0.15310068452813488	0.0636551695980403	0.47637006482027106
EASER_neighborhood=8444_l2_norm=5427908$583344349	0.10600837692072161	0.06474209341407511	0.1813972823282231	0.04612256923983501	0.133845582826724	0.05501208809489295	0.43358868591632294
EASER_neighborhood=8444_l2_norm=52576$441559197345	0.11290557500414268	0.0691206554530664	0.19118744109134184	0.04906894519740719	0.1426859660550541	0.05890085756338373	0.45468473777253976
EASER_neighborhood=8444_l2_norm=926$2221692338618	0.16770951618954935	0.10428632230931545	0.2634656471678142	0.07381850324101356	0.2046833906867895	0.08918814012295813	0.5501473187978786
EASER_neighborhood=8444_l2_norm=789$3836355650471	0.1698120144579251	0.10548821760968241	0.2663593018757341	0.0747554507955215	0.2068623954734208	0.09032686781504974	0.5530936947554508
EASER_neighborhood=8444_l2_norm=16$043209078339707	0.16247879148899322	0.0988480563062002	0.2507980244412548	0.06961107837360046	0.19929841109977847	0.0851441825865256	0.5312905126694166
EASER_neighborhood=8444_l2_norm=4727381$346250403	0.10599751979503917	0.06474385911383727	0.18134703744444847	0.0461343547436653	0.13385436099509415	0.055022136506321956	0.4337065409546258
EASER_neighborhood=8444_l2_norm=7558316$668178132	0.10595689142561622	0.06472485728401878	0.18128679185428848	0.046104890984089576	0.13381763002917782	0.05499043669581079	0.43358868591632294
