model	nDCG	MAP	MRR	Precision	Recall	F1	HR
EASER_neighborhood=2810_l2_norm=6364$1119058280865	0.33607111753772784	0.1970079019205842	0.5648552564185971	0.1296991090939654	0.40018712624555736	0.1683292483194674	0.9700790048747688
EASER_neighborhood=2810_l2_norm=3519$8743557715707	0.35470486174863913	0.20842554035816957	0.5824234756095301	0.13682635737098672	0.4216469336103501	0.17762150347944344	0.974617582787023
EASER_neighborhood=2810_l2_norm=1025322$096570095	0.2259803079710761	0.13450353249607222	0.4151210147775096	0.09324592368465288	0.2774701850953283	0.11921260511836024	0.9147755925365607
EASER_neighborhood=2810_l2_norm=5582$409450602484	0.34067091601833505	0.19978687524594987	0.5697692035425458	0.1313565305093293	0.40548329848110964	0.1705009294139487	0.971423768700622
EASER_neighborhood=2810_l2_norm=735730$1786396656	0.22690280909639343	0.13496384377530146	0.41678004024615306	0.09350815263069423	0.27843695506454613	0.11957413671408691	0.915111783493024
EASER_neighborhood=2810_l2_norm=620368$9772137848	0.2275090975931999	0.1352567328680458	0.41796464837125824	0.09368969574718443	0.2789633825898402	0.11980571128642144	0.9156160699277189
EASER_neighborhood=2810_l2_norm=259858$3824834978	0.2322327340517283	0.1377584501816063	0.42676721940560397	0.09496049756261558	0.28412485649433694	0.12160225838326903	0.9196503614052782
EASER_neighborhood=2810_l2_norm=54984$899991488346	0.2576066563586652	0.15129035590006246	0.47439032540250803	0.10196335518574554	0.3106182906086919	0.1313272804598073	0.9337703815767355
EASER_neighborhood=2810_l2_norm=20669$050984605827	0.29012729247694485	0.16958151475716776	0.5183945562291282	0.11255000840477392	0.34721153211844163	0.14576532076259208	0.9525970751386788
EASER_neighborhood=2810_l2_norm=4919648$575609899	0.22414582262270813	0.1336313151299779	0.41188573803443435	0.09275508488821652	0.275250350585941	0.11849309381022616	0.9124222558413179
EASER_neighborhood=2810_l2_norm=15$930101258108873	0.3091661947170523	0.17905929429993406	0.5235697522061252	0.11789880652210458	0.3704146922323534	0.15440888547981252	0.9596570852244075
EASER_neighborhood=2810_l2_norm=1784992$1617147943	0.22488796643039619	0.13403545638870656	0.4132897245607705	0.09293662800470667	0.2760132937049866	0.11875556148237748	0.9132627332324761
EASER_neighborhood=2810_l2_norm=1841393$8798034496	0.2248610092604303	0.13401626527385863	0.4131804998148139	0.09293326609514205	0.27600628307106184	0.11875118248582002	0.9132627332324761
EASER_neighborhood=2810_l2_norm=16647$54849240963	0.29883602567653317	0.17467520985835827	0.528276095814962	0.11562951756597749	0.3573658336201402	0.14987805025959752	0.9573037485291646
EASER_neighborhood=2810_l2_norm=71668$88255332378	0.2511790841922612	0.14769082056198707	0.4618663213915889	0.10022188603126576	0.3041575670768369	0.12890042716097105	0.9312489494032611
EASER_neighborhood=2810_l2_norm=35141$71317236514	0.27114549002705846	0.15879358844573183	0.4949921911043949	0.10611195158850227	0.32566209680632363	0.1370479092993978	0.9420070600100857
EASER_neighborhood=2810_l2_norm=14332$005274332103	0.30480257417322804	0.17818701821116686	0.5341189570396844	0.11792906370818626	0.3640790444956645	0.15286793600452697	0.9593208942679442
EASER_neighborhood=2810_l2_norm=148929$2743591879	0.2380141627791282	0.14074968565838125	0.4375749304700865	0.09656076651538074	0.29018550347421446	0.12382179638373471	0.9248613212304589
EASER_neighborhood=2810_l2_norm=696$7858293223413	0.3777136794931803	0.22250445868283214	0.5952075625680754	0.14692889561270805	0.4506808979765388	0.1906487873531255	0.9779794923516557
EASER_neighborhood=2810_l2_norm=2988$7076376245245	0.3588864753145774	0.21088841876640455	0.5835693663614527	0.1387863506471676	0.42730002701325	0.18014529131348322	0.9756261556564129
MultiDAE_seed=42_e=20_bs=512_intermediate_dim=600_latent_dim=100_reg_lambda=0$01_lr=0$003_dropout_pkeep=0$0	0.3504049103070144	0.1998400464749542	0.5330265568465643	0.13809379727685325	0.4384463208446112	0.18102952963247007	0.9756261556564129
MultiDAE_seed=42_e=30_bs=256_intermediate_dim=600_latent_dim=300_reg_lambda=0$01_lr=0$001_dropout_pkeep=0$0	0.3507264053689928	0.19910594595336686	0.5310358153005446	0.13828542612203734	0.43986599695978046	0.18140239050795837	0.9778113968734241
MultiDAE_seed=42_e=30_bs=32_intermediate_dim=600_latent_dim=200_reg_lambda=0$01_lr=0$001_dropout_pkeep=0$0	0.33844768634680844	0.19129180600373996	0.5153793874033449	0.13454362077660112	0.42905743651633665	0.17680238456725098	0.974617582787023
